Text	No. words in text	No. hits in text	Freq. per hundred	language
HISG2051	9783	45	0.459982	A
HISG3011	8640	21	0.243056	A
HISG3021	11942	22	0.184224	A
IOEG0011	2079	3	0.1443	A
IOEG0021	3195	3	0.093897	A
IOEG0031	994	1	0.100604	A
IOEG0032	2076	3	0.144509	A
IOEG0041	8495	21	0.247204	A
IOEG0051	2800	6	0.214286	A
IOEG0061	5091	16	0.31428	A
IOEG0071	3365	10	0.297177	A
IOEG0081	2332	6	0.25729	A
IOEG0091	2183	11	0.503894	A
IOEG0101	2552	1	0.039185	A
IOEG0111	3996	7	0.175175	A
IOEG0121	1333	2	0.150038	A
IOEG0122	3039	8	0.263244	A
IOEG0131	4297	39	0.90761	A
IOEG1011	2558	1	0.039093	A
IOEG1023	4506	7	0.155348	A
IOEG1031	1912	6	0.313808	A
IOEG1041	8015	7	0.087336	A
IOEG1051	7058	30	0.42505	A
IOEG1052	3191	20	0.626763	A
IOEG1071	3641	5	0.137325	A
IOEG1081	3408	10	0.293427	A
IOEG1091	2192	4	0.182482	A
IOEG1102	1461	1	0.068446	A
IOEG1111	663	9	1.357466	A
IOEG1112	983	7	0.712106	A
IOEG2011	3280	5	0.152439	A
IOEG2012	2105	2	0.095012	A
IOEG2013	2217	7	0.315742	A
IOEG2022	1077	1	0.092851	A
IOEG2023	1206	2	0.165837	A
IOEG2031	11504	17	0.147775	A
IOEG3011	5338	8	0.149869	A
IOEG3031	4914	12	0.2442	A
LING0011	1243	12	0.965406	A
LING0012	1252	1	0.079872	A
LING0021	3008	21	0.698138	A
LING0031	12358	44	0.356045	A
LING0041	3554	11	0.30951	A
LING0051	6412	13	0.202745	A
LING0061	6909	55	0.796063	A
LING0062	1030	9	0.873786	A
LING0063	2031	6	0.295421	A
LING0071	3233	6	0.185586	A
LING0072	2019	7	0.346706	A
LING0073	1957	5	0.255493	A
LING0081	4780	15	0.313808	A
LING0091	4554	7	0.153711	A
LING0101	1636	1	0.061125	A
LING0102	3869	5	0.129232	A
LING0121	3817	22	0.576369	A
LING0131	3072	2	0.065104	A
LING0141	977	4	0.409417	A
LING1011	4584	4	0.08726	A
LING1012	3515	2	0.056899	A
LING1013	4563	4	0.087662	A
LING1015	2925	3	0.102564	A
LING1021	2948	14	0.474898	A
LING1022	6171	9	0.145843	A
LING1031	3491	6	0.171871	A
LING1051	3603	8	0.222037	A
LING1061	2593	3	0.115696	A
LING1062	5115	25	0.488759	A
LING1063	6664	18	0.270108	A
LING1064	6344	12	0.189155	A
LING2011	5893	6	0.101816	A
LING2012	4676	7	0.149701	A
LING2013	2905	4	0.137694	A
LING2021	9660	10	0.10352	A
LING2031	3468	10	0.288351	A
LING3012	10885	6	0.055122	A
LING3021	2663	2	0.075103	A
MECG0021	1922	4	0.208117	A
MECG0031	1760	3	0.170455	A
MECG0041	6423	15	0.233536	A
MECG0051	3372	6	0.177936	A
MECG0061	11518	26	0.225734	A
MECG0071	2516	2	0.079491	A
MECG0081	3149	4	0.127024	A
MECG0082	3351	3	0.089526	A
MECG0084	1986	2	0.100705	A
MECG0085	2138	2	0.093545	A
MECG0086	1858	3	0.161464	A
MECG0101	2139	7	0.327256	A
MECG0111	2258	8	0.354296	A
MECG0112	2838	14	0.493305	A
MECG0121	921	1	0.108578	A
MECG1011	4541	19	0.41841	A
MECG1021	2587	4	0.154619	A
MECG1031	6172	14	0.226831	A
MECG1041	8287	6	0.072403	A
