Text	No. words in text	No. hits in text	Freq. per hundred	language
SOCG0032	1343	1	0.07446	A
SOCG0033	1741	5	0.287191	A
SOCG0034	4641	14	0.301659	A
SOCG0041	5476	24	0.438276	A
SOCG0051	1679	4	0.238237	A
SOCG0052	2935	8	0.272572	A
SOCG0061	535	1	0.186916	A
SOCG0071	2454	4	0.162999	A
SOCG0081	4009	24	0.598653	A
SOCG0101	1887	4	0.211977	A
SOCG0111	3224	7	0.217122	A
SOCG0112	1580	4	0.253165	A
SOCG0113	3053	5	0.163773	A
SOCG0121	3834	17	0.443401	A
SOCG0122	798	5	0.626566	A
SOCG0131	2224	5	0.22482	A
SOCG0132	3537	7	0.197908	A
SOCG0141	2089	6	0.287219	A
SOCG1011	3552	7	0.197072	A
SOCG1012	3753	16	0.426326	A
SOCG1021	3262	4	0.122624	A
SOCG1022	3369	8	0.237459	A
SOCG1031	10368	24	0.231481	A
SOCG1041	1774	4	0.225479	A
SOCG1051	2314	9	0.388937	A
SOCG1052	2130	1	0.046948	A
SOCG1061	1773	3	0.169205	A
SOCG1063	1761	4	0.227144	A
SOCG1071	5821	26	0.446659	A
SOCG1081	390	1	0.25641	A
SOCG1082	1474	1	0.067843	A
SOCG1091	2937	5	0.170242	A
SOCG1101	2959	8	0.270362	A
SOCG1102	2376	2	0.084175	A
SOCG1103	2916	3	0.102881	A
SOCG1104	3010	8	0.265781	A
SOCG1105	1802	3	0.166482	A
SOCG1106	1333	7	0.525131	A
SOCG1111	2123	1	0.047103	A
SOCG1112	2715	2	0.073665	A
SOCG2011	2642	8	0.302801	A
SOCG2021	1714	5	0.291715	A
SOCG2022	1624	2	0.123153	A
SOCG2031	2860	1	0.034965	A
SOCG2032	3400	3	0.088235	A
SOCG2033	2862	5	0.174703	A
SOCG2041	5870	20	0.340716	A
SOCG2051	1048	2	0.19084	A
SOCG3011	4121	12	0.291191	A
SOCG3012	1984	5	0.252016	A
SOCG3013	1638	1	0.06105	A
SOCG3021	3084	2	0.064851	A
SOCG3031	3321	9	0.271003	A
SOCG3041	4986	28	0.561572	A
SOCG3051	7325	25	0.341297	A
SOCG3052	13188	18	0.136488	A
SOCG3061	1480	2	0.135135	A
SOCG3062	3298	6	0.181928	A
SOCG3071	5876	34	0.578625	A
SOCG3081	5070	8	0.157791	A
SOCG3091	1453	9	0.619408	A
SOCG3092	1486	1	0.067295	A
SOCG3101	2736	10	0.365497	A
SOCG3102	2979	2	0.067137	A
SOCG3103	4246	13	0.306171	A
SOCG3111	5204	21	0.403536	A
